Release 13.2 - par O.61xd (nt)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Thu May 02 15:15:00 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       IP_watermarking_rijandal_map.ncd
OUTPUT FILE:      IP_watermarking_rijandal_pad.txt
PART TYPE:        xc6vlx75tl
SPEED GRADE:      -1l
PACKAGE:          ff784

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|AA18      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AA19      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AA20      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AA21      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AA22      |output_dev<34>       |IOB      |IO_L19N_24                |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AA23      |                     |         |VCCO_24                   |         |           |24            |          |         |           |         |2.50     |          |           |                |
|AA24      |output_dev<7>        |IOB      |IO_L6P_D7_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AA25      |output_dev<8>        |IOB      |IO_L6N_D6_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AA26      |output_dev<35>       |IOB      |IO_L0P_GC_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AA27      |watermark_output<124>|IOB      |IO_L0N_GC_24              |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AA28      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AB1       |                     |OPAD     |MGTTXP2_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AB2       |                     |OPAD     |MGTTXN2_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AB3       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AB4       |                     |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|AB5       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AB6       |                     |         |TCK_0                     |         |           |              |          |         |           |         |         |          |           |                |
|AB7       |watermark_output<84> |IOB      |IO_L2N_SM0N_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB8       |watermark_output<99> |IOB      |IO_L6N_SM3N_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB9       |watermark_output<85> |IOB      |IO_L4N_VREF_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB10      |                     |         |VCCO_35                   |         |           |35            |          |         |           |         |2.50     |          |           |                |
|AB11      |watermark_output<102>|IOB      |IO_L9P_MRCC_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AB12      |rst                  |IOB      |IO_L1P_GC_34              |INPUT    |LVCMOS25*  |34            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AB13      |                     |IOBM     |IO_L3P_A13_D29_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AB14      |                     |IOBM     |IO_L5P_A09_D25_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AB15      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AB16      |                     |IOBM     |IO_L14P_A25_34            |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AB17      |                     |IOBS     |IO_L17N_A18_34            |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AB18      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AB19      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AB20      |                     |         |VCCO_23                   |         |           |23            |          |         |           |         |any******|          |           |                |
|AB21      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AB22      |output_dev<33>       |IOB      |IO_L19P_24                |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AB23      |output_dev<17>       |IOB      |IO_L11P_SRCC_24           |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AB24      |output_dev<28>       |IOB      |IO_L16N_CSO_B_24          |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
