Release 13.2 - par O.61xd (nt)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Thu May 02 15:15:00 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       IP_watermarking_rijandal_map.ncd
OUTPUT FILE:      IP_watermarking_rijandal_pad.txt
PART TYPE:        xc6vlx75tl
SPEED GRADE:      -1l
PACKAGE:          ff784

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name                  |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|AF10      |clk                  |IOB      |IO_L18P_GC_35             |INPUT    |LVCMOS25*  |35            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|AF11      |watermark_output<106>|IOB      |IO_L11P_SRCC_35           |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AF12      |watermark_output<109>|IOB      |IO_L15P_SM7P_35           |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AF13      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AF14      |                     |IOBM     |IO_L4P_A11_D27_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AF15      |                     |IOBS     |IO_L10N_MRCC_34           |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AF16      |                     |IOBM     |IO_L13P_A01_D17_34        |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AF17      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AF18      |                     |         |VCCO_23                   |         |           |23            |          |         |           |         |any******|          |           |                |
|AF19      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AF20      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AF21      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AF22      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AF23      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AF24      |output_dev<24>       |IOB      |IO_L14N_VREF_FOE_B_MOSI_24|OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AF25      |output_dev<16>       |IOB      |IO_L10N_MRCC_24           |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AF26      |output_dev<13>       |IOB      |IO_L9P_MRCC_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AF27      |output_dev<2>        |IOB      |IO_L3N_D12_24             |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AF28      |                     |         |VCCO_24                   |         |           |24            |          |         |           |         |2.50     |          |           |                |
|AG1       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AG2       |                     |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|AG3       |                     |IPAD     |MGTRXP1_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AG4       |                     |IPAD     |MGTRXN1_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AG5       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AG6       |                     |         |CSI_B_0                   |         |           |              |          |         |           |         |         |          |           |                |
|AG7       |watermark_output<111>|IOB      |IO_L16P_VRN_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG8       |watermark_output<117>|IOB      |IO_L16N_VRP_35            |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG9       |watermark_output<114>|IOB      |IO_L13P_SM6P_35           |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG10      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AG11      |watermark_output<116>|IOB      |IO_L11N_SRCC_35           |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG12      |watermark_output<83> |IOB      |IO_L19N_GC_35             |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AG13      |                     |IOBS     |IO_L4N_VREF_A10_D26_34    |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AG14      |                     |IOBM     |IO_L10P_MRCC_34           |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AG15      |                     |         |VCCO_34                   |         |           |34            |          |         |           |         |2.50     |          |           |                |
|AG16      |                     |IOBS     |IO_L13N_A00_D16_34        |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AG17      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AG18      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AG19      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AG20      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AG21      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AG22      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AG23      |output_dev<30>       |IOB      |IO_L17N_VRP_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AG24      |output_dev<25>       |IOB      |IO_L15P_FWE_B_24          |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AG25      |                     |         |VCCO_24                   |         |           |24            |          |         |           |         |2.50     |          |           |                |
|AG26      |output_dev<14>       |IOB      |IO_L9N_MRCC_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AG27      |output_dev<3>        |IOB      |IO_L4P_D11_24             |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AG28      |output_dev<1>        |IOB      |IO_L3P_D13_24             |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AH1       |                     |IPAD     |MGTRXP0_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AH2       |                     |IPAD     |MGTRXN0_114               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AH3       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AH4       |                     |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|AH5       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AH6       |                     |         |CCLK_0                    |         |           |              |          |         |           |         |         |          |           |                |
|AH7       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AH8       |watermark_output<107>|IOB      |IO_L13N_SM6N_35           |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH9       |watermark_output<118>|IOB      |IO_L17P_35                |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH10      |watermark_output<119>|IOB      |IO_L17N_35                |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH11      |watermark_output<121>|IOB      |IO_L19P_GC_35             |OUTPUT   |LVCMOS25*  |35            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|AH12      |                     |         |VCCO_35                   |         |           |35            |          |         |           |         |2.50     |          |           |                |
|AH13      |                     |IOBM     |IO_L7P_A05_D21_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AH14      |                     |IOBS     |IO_L7N_A04_D20_34         |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AH15      |                     |IOBM     |IO_L9P_MRCC_34            |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AH16      |                     |IOBS     |IO_L9N_MRCC_34            |UNUSED   |           |34            |          |         |           |         |         |          |           |                |
|AH17      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AH18      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AH19      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AH20      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AH21      |                     |         |NC                        |         |           |              |          |         |           |         |         |          |           |                |
|AH22      |                     |         |VCCO_23                   |         |           |23            |          |         |           |         |any******|          |           |                |
|AH23      |output_dev<29>       |IOB      |IO_L17P_VRN_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AH24      |output_dev<26>       |IOB      |IO_L15N_RS1_24            |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AH25      |output_dev<22>       |IOB      |IO_L13N_D0_FS0_24         |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AH26      |output_dev<21>       |IOB      |IO_L13P_D1_FS1_24         |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|AH27      |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|AH28      |output_dev<4>        |IOB      |IO_L4N_VREF_D10_24        |OUTPUT   |LVCMOS25*  |24            |12        |SLOW     |           |         |         |UNLOCATED |YES        |NONE            |
|B1        |                     |IPAD     |MGTRXP2_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|B2        |                     |IPAD     |MGTRXN2_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|B3        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|B4        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|B5        |                     |         |MGTRREF_115               |         |           |              |          |         |           |         |         |          |           |                |
|B6        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|B7        |                     |IOBS     |IO_L3N_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|B8        |                     |IOBM     |IO_L1P_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|B9        |                     |IOBM     |IO_L12P_VRN_36            |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|B10       |                     |         |VCCO_36                   |         |           |36            |          |         |           |         |2.50     |          |           |                |
|B11       |                     |IOBM     |IO_L5P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|B12       |                     |IOBM     |IO_L18P_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|B13       |                     |IOBS     |IO_L7N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|B14       |                     |IOBM     |IO_L9P_MRCC_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|B15       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|B16       |                     |IOBS     |IO_L15N_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|B17       |                     |IOBS     |IO_L17N_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|B18       |watermark_output<54> |IOB      |IO_L5P_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|B19       |watermark_output<55> |IOB      |IO_L5N_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|B20       |                     |         |VCCO_25                   |         |           |25            |          |         |           |         |2.50     |          |           |                |
|B21       |watermark_output<70> |IOB      |IO_L13P_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|B22       |watermark_output<78> |IOB      |IO_L17P_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|B23       |watermark_output<79> |IOB      |IO_L17N_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|B24       |Y<2>                 |IOB      |IO_L1P_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|B25       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|B26       |Y<6>                 |IOB      |IO_L3P_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|B27       |x<0>                 |IOB      |IO_L9P_MRCC_16            |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|B28       |x<1>                 |IOB      |IO_L9N_MRCC_16            |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C1        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|C2        |                     |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|C3        |                     |IPAD     |MGTRXP1_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|C4        |                     |IPAD     |MGTRXN1_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|C5        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|C6        |                     |         |M2_0                      |         |           |              |          |         |           |         |         |          |           |                |
|C7        |                     |         |VCCO_36                   |         |           |36            |          |         |           |         |2.50     |          |           |                |
|C8        |                     |IOBS     |IO_L1N_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|C9        |                     |IOBS     |IO_L12N_VRP_36            |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|C10       |                     |IOBS     |IO_L8N_SRCC_36            |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|C11       |                     |IOBS     |IO_L5N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|C12       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|C13       |                     |IOBS     |IO_L18N_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|C14       |                     |IOBM     |IO_L7P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|C15       |                     |IOBM     |IO_L15P_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|C16       |                     |IOBS     |IO_L16N_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|C17       |                     |         |VCCO_26                   |         |           |26            |          |         |           |         |2.50     |          |           |                |
|C18       |watermark_output<52> |IOB      |IO_L3P_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C19       |watermark_output<68> |IOB      |IO_L12P_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C20       |watermark_output<69> |IOB      |IO_L12N_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C21       |watermark_output<71> |IOB      |IO_L13N_25                |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C22       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|C23       |Y<9>                 |IOB      |IO_L4N_VREF_16            |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C24       |Y<3>                 |IOB      |IO_L1N_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C25       |Y<7>                 |IOB      |IO_L3N_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|C26       |watermark_output<1>  |IOB      |IO_L18N_16                |OUTPUT   |LVCMOS25*  |16            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|C27       |                     |         |VCCO_16                   |         |           |16            |          |         |           |         |2.50     |          |           |                |
|C28       |x<5>                 |IOB      |IO_L11N_SRCC_16           |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D1        |                     |OPAD     |MGTTXP3_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|D2        |                     |OPAD     |MGTTXN3_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|D3        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|D4        |                     |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|D5        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|D6        |                     |         |M1_0                      |         |           |              |          |         |           |         |         |          |           |                |
|D7        |                     |IOBM     |IO_L14P_36                |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|D8        |                     |IOBM     |IO_L5P_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|D9        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|D10       |                     |IOBM     |IO_L8P_SRCC_36            |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|D11       |                     |IOBS     |IO_L0N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|D12       |                     |IOBS     |IO_L6N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|D13       |                     |IOBM     |IO_L6P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|D14       |                     |         |VCCO_26                   |         |           |26            |          |         |           |         |2.50     |          |           |                |
|D15       |                     |IOBS     |IO_L12N_VRP_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|D16       |                     |IOBM     |IO_L16P_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|D17       |watermark_output<59> |IOB      |IO_L6P_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|D18       |watermark_output<53> |IOB      |IO_L3N_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|D19       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|D20       |watermark_output<64> |IOB      |IO_L10P_MRCC_25           |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|D21       |watermark_output<77> |IOB      |IO_L16N_VRP_25            |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|D22       |Y<8>                 |IOB      |IO_L4P_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D23       |x<9>                 |IOB      |IO_L14N_VREF_16           |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D24       |                     |         |VCCO_16                   |         |           |16            |          |         |           |         |2.50     |          |           |                |
|D25       |Y<13>                |IOB      |IO_L6N_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D26       |                     |IOBM     |IO_L18P_16                |UNUSED   |           |16            |          |         |           |         |         |          |           |                |
|D27       |x<4>                 |IOB      |IO_L11P_SRCC_16           |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|D28       |x<12>                |IOB      |IO_L13P_16                |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E1        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|E2        |                     |         |MGTAVTT                   |         |           |              |          |         |           |         |         |          |           |                |
|E3        |                     |IPAD     |MGTRXP0_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|E4        |                     |IPAD     |MGTRXN0_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|E5        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|E6        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|E7        |                     |IOBS     |IO_L14N_VREF_36           |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|E8        |                     |IOBM     |IO_L7P_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|E9        |                     |IOBS     |IO_L5N_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|E10       |                     |IOBS     |IO_L0N_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|E11       |                     |         |VCCO_26                   |         |           |26            |          |         |           |         |2.50     |          |           |                |
|E12       |                     |IOBM     |IO_L0P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|E13       |                     |IOBM     |IO_L1P_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|E14       |                     |IOBS     |IO_L1N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|E15       |                     |IOBM     |IO_L12P_VRN_26            |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|E16       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|E17       |watermark_output<51> |IOB      |IO_L6N_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|E18       |watermark_output<58> |IOB      |IO_L7P_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|E19       |watermark_output<65> |IOB      |IO_L10N_MRCC_25           |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|E20       |watermark_output<76> |IOB      |IO_L16P_VRN_25            |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|E21       |                     |         |VCCO_25                   |         |           |25            |          |         |           |         |2.50     |          |           |                |
|E22       |Y<10>                |IOB      |IO_L5P_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E23       |x<6>                 |IOB      |IO_L14P_16                |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E24       |Y<12>                |IOB      |IO_L6P_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E25       |x<2>                 |IOB      |IO_L10P_MRCC_16           |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E26       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|E27       |x<15>                |IOB      |IO_L16N_16                |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|E28       |x<11>                |IOB      |IO_L13N_16                |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F1        |                     |OPAD     |MGTTXP2_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|F2        |                     |OPAD     |MGTTXN2_116               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|F3        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|F4        |                     |         |MGTAVCC                   |         |           |              |          |         |           |         |         |          |           |                |
|F5        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|F6        |                     |         |M0_0                      |         |           |              |          |         |           |         |         |          |           |                |
|F7        |                     |IOBM     |IO_L9P_MRCC_36            |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|F8        |                     |         |VCCO_36                   |         |           |36            |          |         |           |         |2.50     |          |           |                |
|F9        |                     |IOBS     |IO_L7N_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|F10       |                     |IOBS     |IO_L6N_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|F11       |                     |IOBM     |IO_L0P_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|F12       |                     |IOBS     |IO_L11N_SRCC_26           |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|F13       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|F14       |                     |IOBS     |IO_L3N_26                 |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|F15       |                     |IOBS     |IO_L10N_MRCC_26           |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|F16       |                     |IOBM     |IO_L10P_MRCC_26           |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|F17       |watermark_output<47> |IOB      |IO_L1N_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|F18       |                     |         |VCCO_25                   |         |           |25            |          |         |           |         |2.50     |          |           |                |
|F19       |watermark_output<61> |IOB      |IO_L7N_25                 |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|F20       |watermark_output<82> |IOB      |IO_L19P_GC_25             |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|F21       |watermark_output<122>|IOB      |IO_L19N_GC_25             |OUTPUT   |LVCMOS25*  |25            |12        |SLOW     |           |         |         |UNLOCATED |NO         |NONE            |
|F22       |Y<11>                |IOB      |IO_L5N_16                 |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F23       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|F24       |x<3>                 |IOB      |IO_L10N_MRCC_16           |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F25       |x<13>                |IOB      |IO_L15N_16                |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F26       |x<8>                 |IOB      |IO_L15P_16                |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F27       |x<14>                |IOB      |IO_L16P_16                |INPUT    |LVCMOS25*  |16            |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|F28       |                     |         |VCCO_16                   |         |           |16            |          |         |           |         |2.50     |          |           |                |
|G1        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|G2        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|G3        |                     |IPAD     |MGTREFCLK1N_116           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|G4        |                     |IPAD     |MGTREFCLK1P_116           |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|G5        |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|G6        |                     |         |RDWR_B_0                  |         |           |              |          |         |           |         |         |          |           |                |
|G7        |                     |IOBS     |IO_L9N_MRCC_36            |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|G8        |                     |IOBM     |IO_L13P_36                |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|G9        |                     |IOBS     |IO_L13N_36                |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|G10       |                     |         |GND                       |         |           |              |          |         |           |         |         |          |           |                |
|G11       |                     |IOBM     |IO_L6P_36                 |UNUSED   |           |36            |          |         |           |         |         |          |           |                |
|G12       |                     |IOBM     |IO_L11P_SRCC_26           |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
|G13       |                     |IOBS     |IO_L19N_26                |UNUSED   |           |26            |          |         |           |         |         |          |           |                |
